node1,node2,weight
K00V,K00V,54
K00V,K4V1,5
K00V,KAFF,2
K00V,KAPA,33
K00V,KCOS,4
K00V,KF70,2
K00V,KFNL,2
K00V,KLHX,2
K00V,KPUB,4
K01G,KORL,2
K02A,K02A,4
K02A,K04A,4
K02A,K08A,6
K02A,K1A9,9
K02A,KAUO,2
K02A,KMGM,20
K02A,KMXF,4
K02A,KSEM,4
K02A,KTOI,3
K02C,KATW,5
K02C,KIAD,2
K02C,KJVL,2
K02C,KMIC,2
K02C,KMRJ,2
K02C,KMSN,7
K02C,KPVB,2
K02G,KBKL,2
K02G,KBVI,5
K02G,KLAS,3
K02G,KMDW,3
K02G,KORD,11
K02G,PN43,2
K04A,K1A9,7
K04A,KMGM,9
K04G,KPBI,2
K05C,K05C,2
K05C,K3HO,2
K05C,KBCT,2
K05C,KDEC,2
K05C,KEYE,2
K05C,KIGQ,5
K05C,KIND,3
K05C,KLOT,2
K05C,KMDW,2
K05C,KOPF,2
K05C,KSDL,2
K05C,KSMD,3
K06A,K06A,32
K06A,K1A9,2
K06A,K41A,2
K06A,K67A,4
K06A,KAUO,17
K06A,KEET,2
K06A,KMGM,14
K06A,KMKC,2
K06A,KSEM,2
K06A,KTOI,4
K06C,K06C,35
K06C,K1C2,2
K06C,K3CK,3
K06C,KABE,6
K06C,KABQ,2
K06C,KALB,4
K06C,KATL,14
K06C,KATW,9
K06C,KAUS,2
K06C,KBKL,2
K06C,KBMI,5
K06C,KBNA,4
K06C,KBOS,2
K06C,KBUF,19
K06C,KBWI,13
K06C,KC81,3
K06C,KCAE,3
K06C,KCMH,13
K06C,KCOS,4
K06C,KDCA,27
K06C,KDEC,3
K06C,KDEN,15
K06C,KDFW,19
K06C,KDPA,5
K06C,KENW,4
K06C,KERI,5
K06C,KEWR,16
K06C,KFLL,5
K06C,KFWA,8
K06C,KGRB,12
K06C,KGRR,10
K06C,KGYY,7
K06C,KHPN,5
K06C,KHSV,2
K06C,KIAD,10
K06C,KIAH,3
K06C,KIGQ,6
K06C,KIND,8
K06C,KISM,4
K06C,KJFK,14
K06C,KJOT,2
K06C,KJWN,2
K06C,KLAF,3
K06C,KLAS,7
K06C,KLAX,21
K06C,KLDJ,9
K06C,KLGA,62
K06C,KMCI,7
K06C,KMCO,4
K06C,KMDT,12
K06C,KMDW,12
K06C,KMKC,2
K06C,KMKE,22
K06C,KMKG,2
K06C,KMSN,14
K06C,KMSP,36
K06C,KNY2,2
K06C,KOAK,2
K06C,KOKC,2
K06C,KOMA,8
K06C,KOPF,6
K06C,KORD,12
K06C,KORL,2
K06C,KPBI,2
K06C,KPDX,6
K06C,KPHL,11
K06C,KPHX,13
K06C,KPIA,8
K06C,KPMP,2
K06C,KPWK,9
K06C,KRDU,13
K06C,KRFD,2
K06C,KROA,5
K06C,KROC,2
K06C,KSAN,5
K06C,KSAT,4
K06C,KSDF,11
K06C,KSEA,13
K06C,KSFO,17
K06C,KSJC,3
K06C,KSNA,7
K06C,KSTL,16
K06C,KTPA,8
K06C,KUES,3
K06C,KUGN,7
K06C,KWBW,3
K06C,KXNA,12
K06C,PANC,11
K07A,K07A,2
K07A,K08A,3
K07A,KMGM,6
K07A,KMXF,5
K07A,KSCD,2
K07A,KTOI,3
K07A,KVDF,2
K07F,KADS,2
K07F,KDFW,6
K07F,KTKI,3
K07V,KAPA,3
K08A,K08A,9
K08A,K1A9,4
K08A,KLAL,2
K08A,KMGM,5
K08C,K08C,5
K08C,K3GM,3
K08C,K6D6,3
K08C,K9D9,3
K08C,KSMD,2
K08C,KY70,3
K0B5,KALB,13
K0B5,KIAD,4
K0B5,KSCH,2
K0E0,KABQ,12
K0F2,KADS,2
K0F2,KAFW,22
K0F2,KDFW,2
K0F2,KDTO,6
K0F2,KF48,2
K0F2,KFTW,2
K0F2,KGLE,3
K0F2,KIWS,2
K0F2,KT31,3
K0F9,KADS,7
K0F9,KTKI,4
K0G7,KITH,2
K0J6,KDHN,2
K0J6,KLAL,2
K0L7,K0L7,139
K0L7,K1G4,2
K0L7,K61B,19
K0L7,KCMR,2
K0L7,KHND,32
K0L7,KLAS,29
K0L7,KU30,5
K0L7,KVGT,24
K0L9,K61B,7
K0L9,KHND,7
K0L9,KLAS,6
K0L9,KVGT,3
K0S9,KAWO,3
K0S9,KBFI,4
K0S9,KBLI,2
K0S9,KFHR,4
K0S9,KPAE,9
K0S9,KPWT,2
K0V4,KRDU,2
K10C,K10C,7
K10C,K3CK,2
K10C,KDPA,3
K10C,KEFT,2
K10C,KENW,2
K10C,KPWK,7
K10C,KUES,2
K10C,KUGN,6
K11A,K11A,7
K11A,KALX,2
K11A,KAUO,3
K11A,KDHN,3
K11A,KHSV,2
K11A,KMGM,4
K11A,KRYY,6
K11A,KTOI,2
K11V,K11V,4
K11V,K18V,2
K11V,KAPA,4
K11V,KBDU,8
K11V,KBJC,23
K11V,KEIK,4
K11V,KFNL,3
K11V,KGXY,4
K11V,KPUB,2
K12N,K12N,3
K12N,K1N7,2
K12N,KCDW,3
K12N,KLAS,4
K12N,KLNS,3
K12N,KLUK,2
K12N,KMDW,3
K12N,KMKE,2
K12N,KMMU,5
K12N,KMPO,2
K12N,KN40,2
K12N,KN53,2
K12N,KOMA,2
K12N,KPHX,2
K12N,KPNE,2
K12N,KPWK,2
K12N,KSFO,2
K12N,KSNA,2
K12N,KSTL,3
K12N,KTTN,3
K12N,KVNY,3
K12N,PS38,3
K12N,PS82,3
K12Y,K12Y,9
K12Y,KANE,4
K12Y,KFCM,16
K12Y,KLVN,2
K12Y,KMKT,4
K12Y,KSTC,6
K13C,KAMN,2
K13C,KBTL,2
K13C,KGRR,14
K13C,KY70,2
K14A,KCAE,2
K14A,KTTA,2
K14Y,KMSP,3
K15J,K15J,2
K16G,KEWR,2
K17N,K17N,4
K17N,KLOM,3
K17N,KMMU,4
K17N,KN14,22
K17N,KN73,5
K17N,KN81,2
K17N,KN87,3
K17N,KPHL,11
K17N,KPNE,14
K17N,KTTN,8
K17N,KVAY,9
K18A,KAND,2
K18A,KCLT,2
K18A,KGYH,2
